org,scraped_at,headline_1,headline_2,headline_3
https://www.bbc.com,2024-11-26 05:38:41.292725,"Israel cabinet to meet to discuss Lebanon ceasefire deal, https://www.bbc.com/news/articles/c93qe2v1n3eo","Russian deserter reveals war secrets of guarding nuclear base, https://www.bbc.com/news/articles/c9dl2pv0yj0o","Trump vows day-one tariffs on Mexico, Canada and China, https://www.bbc.com/news/articles/cvg7y52n411o"
https://www.aljazeera.com,2024-11-26 05:38:40.540849,"Israel pounds Gaza, Lebanon, as officials say Hezbollah truce is ‘close’, https://www.aljazeera.com/news/liveblog/2024/11/26/live-israel-bombards-lebanon-as-ceasefire-talks-continue","Trump promises 25% tariff on Mexico and Canada, extra 10% tariff on China, https://www.aljazeera.com/economy/2024/11/26/trump-promises-25-tariff-on-mexico-and-canada-extra-10-tariff-on-china","UN evacuation in Haiti, police assault stronghold of gang leader ‘Barbecue’, https://www.aljazeera.com/news/2024/11/25/un-evacuation-in-haiti-police-assault-stronghold-of-gang-leader-barbecue"
https://www.economist.com,2024-11-25 05:39:06.682525,"Donald Trump and Tulsi Gabbard are coming for the spooks, https://www.economist.com/united-states/2024/11/24/donald-trump-and-tulsi-gabbard-are-coming-for-the-spooks","How Trump, Starmer and Macron can avoid a debt crunch, https://www.economist.com/finance-and-economics/2024/11/24/how-trump-starmer-and-macron-can-avoid-a-debt-crunch","Ukraine’s warriors brace for a Kremlin surge in the south, https://www.economist.com/europe/2024/11/24/ukraines-warriors-brace-for-a-kremlin-surge-in-the-south"
https://www.lemonde.fr/en/,2024-11-25 05:39:05.707323,"Rape, assault, harassment: What do the numbers show about violence against women in France?, https://www.lemonde.fr/en/les-decodeurs/article/2024/11/25/rape-assault-harassment-what-do-the-numbers-show-about-violence-against-women-in-france_6734019_8.html","Far-right populist set to qualify for second round runoff in Romania presidential election, https://www.lemonde.fr/en/international/article/2024/11/25/far-right-populist-set-to-qualify-for-second-round-runoff-in-romania-presidential-election_6734009_4.html","Puerto Rico's eternally  thwarted dream: the 51st US state, https://www.lemonde.fr/en/international/article/2024/11/24/puerto-rico-s-eternally-thwarted-dream-the-51st-us-state_6734003_4.html"
https://www.bbc.com,2024-11-25 05:39:05.009458,"‘Pregnant’ for 15 months: Inside the 'miracle' pregnancy scam, https://www.bbc.com/news/articles/c78dyryreyxo","What happened when a city started accepting - not evicting - homeless camps, https://www.bbc.com/news/articles/c3wq7l1lnqpo","'Don't drink the spirits': Laos backpackers avoid shots after suspected poisonings, https://www.bbc.com/news/articles/c624kd71dj3o"
https://www.aljazeera.com,2024-11-25 05:39:04.190669,"Casualties, severe damage in Israel after Hezbollah fires 340 rockets, https://www.aljazeera.com/news/liveblog/2024/11/25/live-destruction-in-tel-aviv-beirut-amid-hezbollah-israel-missile-fire","Laos’ tainted alcohol deaths send chill through backpacker paradise, https://www.aljazeera.com/news/2024/11/25/laos-tainted-alcohol-deaths-send-chill-through-backpacker-paradise","Dying in ‘Hell’: The fate of Palestinian medics jailed by Israel, https://www.aljazeera.com/news/2024/11/24/dying-in-hell-palestinian-medics-jailed-by-israel"
https://www.economist.com,2024-11-24 05:38:09.395539,"What Scott Bessent’s appointment means for the Trump administration, https://www.economist.com/finance-and-economics/2024/11/23/what-scott-bessents-appointment-means-for-the-trump-administration","1843 magazine | A journey through the world’s newest narco-state, https://www.economist.com/1843/2024/11/22/a-journey-through-the-worlds-newest-narco-state","Democrats are still processing their defeat, https://www.economist.com/united-states/2024/11/21/democrats-are-still-processing-their-defeat"
https://www.lemonde.fr/en/,2024-11-24 05:38:08.453783,"Ukraine: Russian drones sow terror in Kherson, https://www.lemonde.fr/en/international/article/2024/11/24/ukraine-russian-drones-sow-terror-in-kherson_6733935_4.html","COP29: World approves climate finance deal without satisfying most vulnerable countries, https://www.lemonde.fr/en/environment/article/2024/11/24/cop29-world-approves-300-billion-for-poor-nations-in-bitterly-negotiated-climate-deal_6733908_114.html","At the Paris march to fight violence against women: 'If the Mazan rape trial can be the spark that ignites everything, so much the better', https://www.lemonde.fr/en/france/article/2024/11/23/at-the-paris-march-to-fight-violence-against-women-if-the-mazan-rape-trial-can-be-the-spark-that-ignites-everything-so-much-the-better_6733890_7.html"
https://www.bbc.com,2024-11-24 05:38:07.779545,"In stifled sobs and fierce accusations, family falls apart at French mass-rape trial, https://www.bbc.com/news/articles/cje0g8x5pggo","Can RFK Jr make America's diet healthy again?, https://www.bbc.com/news/articles/cze391y17z7o","Landmark $300bn for poorer nations in COP29 climate deal, https://www.bbc.com/news/articles/cd0gx4przejo"
https://www.aljazeera.com,2024-11-24 05:38:06.755584,"Hundreds flee Gaza City’s Shujayea; Israeli army kills 20 in central Beirut, https://www.aljazeera.com/news/liveblog/2024/11/24/live-israeli-bombardment-kills-38-people-in-gaza-33-in-lebanon","Chennai’s secret: How the Indian city mints world-beating chess champions, https://www.aljazeera.com/features/2024/11/24/chennais-secret-how-the-indian-city-mints-world-beating-chess-champions","‘Exponentially worse’: Immigrant rights groups brace for second Trump term, https://www.aljazeera.com/news/2024/11/23/exponentially-worse-immigrant-rights-groups-brace-for-second-trump-term"
https://www.economist.com,2024-11-23 05:37:23.756578,"Is your master’s degree useless?, https://www.economist.com/international/2024/11/18/is-your-masters-degree-useless","The best books of 2024, as chosen by The Economist, https://www.economist.com/culture/2024/11/22/the-best-books-of-2024-as-chosen-by-the-economist","Bolsonaro’s bid to regain Brazil’s presidency may end in prison, https://www.economist.com/the-americas/2024/11/22/bolsonaros-bid-to-regain-brazils-presidency-may-end-in-prison"
https://www.lemonde.fr/en/,2024-11-23 05:37:22.658986,"Ukraine's pets are the most loyal comrades in arms, https://www.lemonde.fr/en/m-le-mag/article/2024/11/23/ukraine-s-pets-are-the-most-loyal-comrades-in-arms_6733803_117.html","Trump names billionaire hedge fund manager Scott Bessent as treasury chief, Russ Vought as budget director, https://www.lemonde.fr/en/united-states/article/2024/11/23/trump-names-billionaire-hedge-fund-manager-scott-bessent-as-treasury-chief_6733785_133.html","Fears for Gaza hospitals as fuel and aid run low as Israel continues strikes, https://www.lemonde.fr/en/international/article/2024/11/23/fears-for-gaza-hospitals-as-fuel-and-aid-run-low-as-israel-continues-strikes_6733798_4.html"
https://www.bbc.com,2024-11-23 05:37:21.924115,"Trump nominates Bessent to lead US Treasury in flurry of announcements, https://www.bbc.com/news/articles/cj3mv6l1ypyo","Free shots and beer buckets in party town at centre of suspected methanol deaths, https://www.bbc.com/news/articles/cdxv700qg50o","Putin says Russia will use new missile again in 'combat conditions', https://www.bbc.com/news/articles/cx28dzvxjyjo"
https://www.aljazeera.com,2024-11-23 05:37:21.226623,"‘Series of war crimes’: Lebanon accuses Israel of targeting medical staff, https://www.aljazeera.com/news/liveblog/2024/11/23/live-israel-kills-6-more-medical-workers-in-lebanon-attacks-gaza-hospital","Putin says Russia will continue testing new missile fired at Ukraine, https://www.aljazeera.com/news/2024/11/22/ukraine-parliament-cancels-session-over-russia-missile-strike-threat","Who is Pam Bondi, Trump’s new nominee for US attorney general?, https://www.aljazeera.com/news/2024/11/22/who-is-pam-bondi-trumps-new-nominee-for-us-attorney-general"
https://www.economist.com,2024-11-22 05:38:37.971669,"The arrest warrant for Netanyahu will have big consequences, https://www.economist.com/middle-east-and-africa/2024/11/21/the-arrest-warrant-for-netanyahu-will-have-big-consequences","Matt Gaetz withdraws from consideration as America’s attorney-general, https://www.economist.com/united-states/2024/11/21/matt-gaetz-withdraws-from-consideration-as-americas-attorney-general","Vladimir Putin fires a new missile to amplify his nuclear threats, https://www.economist.com/europe/2024/11/21/vladimir-putin-fires-a-new-missile-to-amplify-his-nuclear-threats"
https://www.lemonde.fr/en/,2024-11-22 05:38:36.984235,"The implications of the ICC arrest warrant for Benjamin Netanyahu for crimes against humanity, https://www.lemonde.fr/en/international/article/2024/11/22/the-implications-of-the-icc-arrest-warrant-for-benjamin-netanyahu-for-crimes-against-humanity_6733662_4.html","The full transcript of Putin's speech: 'The regional conflict in Ukraine provoked by the West took on elements of a global character', https://www.lemonde.fr/en/international/article/2024/11/21/the-full-transcript-of-putin-s-speech-the-regional-conflict-in-ukraine-provoked-by-the-west-took-on-elements-of-a-global-character_6733648_4.html","French PM Barnier faces no-confidence threat from far right, https://www.lemonde.fr/en/politics/article/2024/11/22/french-pm-barnier-faces-no-confidence-threat-from-far-right_6733675_5.html"
https://www.bbc.com,2024-11-22 05:38:36.178761,"The rise and fall of Matt Gaetz in eight wild days, https://www.bbc.com/news/articles/c99r2m4y2zro","Netanyahu attacks ICC war crimes arrest warrants, https://www.bbc.com/news/articles/c704y7gwr95o","Trump picks Pam Bondi as attorney general after Matt Gaetz withdraws , https://www.bbc.com/news/articles/cjr4g50wxp2o"
https://www.aljazeera.com,2024-11-22 05:38:35.355409,"State of Palestine lauds ICC warrants for Israel’s Netanyahu, Gallant, https://www.aljazeera.com/news/liveblog/2024/11/22/live-palestine-welcomes-war-crimes-arrest-warrants-for-israeli-leaders","Trump picks loyalist Pam Bondi for attorney general as Matt Gaetz withdraws, https://www.aljazeera.com/news/2024/11/21/trump-loyalist-matt-gaetz-withdraws-from-us-attorney-general-consideration","US state of Alabama carries out third execution by nitrogen gas, https://www.aljazeera.com/news/2024/11/22/us-state-of-alabama-carries-out-third-execution-by-nitrogen-gas"
https://www.economist.com,2024-11-21 05:38:32.222058,"Once dominant, Germany is now desperate, https://www.economist.com/europe/2024/11/20/once-dominant-germany-is-now-desperate","What ChatGPT’s corporate victims have in common, https://www.economist.com/business/2024/11/20/what-chatgpts-corporate-victims-have-in-common","Schumpeter: Does Dallas offer a vision of a Trumpian America?, https://www.economist.com/business/2024/11/20/dallas-utopia-for-the-trump-curious-ceo"
https://www.lemonde.fr/en/,2024-11-21 05:38:31.205286,"Confessions of a repentant Wagner disinformation agent from the Central African Republic, https://www.lemonde.fr/en/le-monde-africa/article/2024/11/21/confessions-of-a-repentant-wagner-disinformation-agent-from-the-central-african-republic_6733535_124.html","Will France have a government at Christmas?, https://www.lemonde.fr/en/opinion/article/2024/11/21/will-france-have-a-government-at-christmas_6733523_23.html","In Lebanon, Hezbollah says Israel 'cannot impose conditions' for truce as US vetoes cease-fire resolution in Gaza, https://www.lemonde.fr/en/international/article/2024/11/21/hezbollah-says-israel-cannot-impose-conditions-for-truce_6733507_4.html"
https://www.bbc.com,2024-11-21 05:38:30.383633,"US charges Indian billionaire Gautam Adani with fraud, https://www.bbc.com/news/articles/c78dkgm9e7ro","Las Vegas man who called 911 for help killed by police in his home, https://www.bbc.com/news/articles/ckglp4nz75zo","Russia and US battle for advantage in Ukraine war ahead of Trump's return, https://www.bbc.com/news/articles/c8jyvv1l99wo"
https://www.aljazeera.com,2024-11-21 05:38:29.554432,"Israeli forces kill 88 in Gaza; US Senate rejects bid to block arms sales, https://www.aljazeera.com/news/liveblog/2024/11/21/live-israeli-attacks-kill-52-in-north-gaza-us-defends-gaza-ceasefire-veto","US Senate votes down effort to withhold weapons to Israel amid Gaza war, https://www.aljazeera.com/news/2024/11/21/us-senate-votes-down-effort-to-withhold-weapons-to-israel-amid-gaza-war","Musk, Ramaswamy outline ‘drastic’ cuts as US gov’t efficiency tsars, https://www.aljazeera.com/economy/2024/11/21/musk-outlines-plans-for-mass-cuts-as-trump-efficiency-tsar"
https://www.economist.com,2024-11-20 05:38:29.539601,"Get ready for “Maximum Pressure 2.0” on Iran, https://www.economist.com/middle-east-and-africa/2024/11/19/get-ready-for-maximum-pressure-20-on-iran","Snuffing out the flame of freedom in Hong Kong, https://www.economist.com/china/2024/11/19/snuffing-out-the-flame-of-freedom-in-hong-kong","Ten trends to watch in 2025, https://www.economist.com/the-world-ahead/2024/11/18/tom-standages-ten-trends-to-watch-in-2025"
https://www.lemonde.fr/en/,2024-11-20 05:38:28.547012,"Israel-Hezbollah war: Dahiyeh has become Beirut's ghost suburb, https://www.lemonde.fr/en/international/article/2024/11/20/israel-hezbollah-war-dahiyeh-has-become-beirut-s-ghost-suburb_6733414_4.html","Macron urges Putin to 'listen to reason' on Ukraine as Biden approves antipersonnel landmines, https://www.lemonde.fr/en/international/article/2024/11/19/macron-urges-putin-to-listen-to-reason-on-ukraine_6733379_4.html","Trump appoints TV star 'Dr. Oz' to key health post, former WWE CEO Linda McMahon as education secretary, https://www.lemonde.fr/en/international/article/2024/11/19/trump-appoints-tv-celebrity-dr-oz-to-key-us-health-post_6733385_4.html"
https://www.bbc.com,2024-11-20 05:38:27.829664,"Russian gains accelerate as Ukraine's Kursk gamble falters, https://www.bbc.com/news/articles/cn0dpdx420lo","Trump picks WWE co-founder Linda McMahon for education secretary, https://www.bbc.com/news/articles/c8rl8knmg8eo","Biden agrees to give Ukraine anti-personnel mines, https://www.bbc.com/news/articles/cx2d1lj3nwqo"
https://www.aljazeera.com,2024-11-20 05:38:26.978659,"Israel attacks North Gaza hospital treating starving children, elderly, https://www.aljazeera.com/news/liveblog/2024/11/20/live-israeli-tanks-fire-on-gaza-hospital-treating-malnutrition","Russia warns Ukraine’s ATACMS attacks mark ‘new phase’ of war, https://www.aljazeera.com/news/2024/11/19/russia-warns-ukraines-atacms-attacks-mark-new-phase-of-war","In India’s tribal-dominated Jharkhand, BJP labels Muslims as ‘Bangladeshis’, https://www.aljazeera.com/news/2024/11/20/in-indias-tribal-dominated-jharkhand-bjp-labels-muslims-as-bangladeshis"
https://www.economist.com,2024-11-19 05:38:07.762510,"Vladimir Putin is in a painful economic bind, https://www.economist.com/finance-and-economics/2024/11/18/vladimir-putin-is-in-a-painful-economic-bind","Firing American missiles at Russia won’t change Ukraine’s fortunes, https://www.economist.com/europe/2024/11/18/firing-american-missiles-at-russia-wont-change-ukraines-fortunes","Britain’s government wants bigger pension funds, https://www.economist.com/britain/2024/11/18/britains-government-wants-bigger-pension-funds"
https://www.lemonde.fr/en/,2024-11-19 05:38:06.661822,"The Pelicot rape trial is causing introspection and division among men: 'Honestly, we don't know where to stand anymore', https://www.lemonde.fr/en/our-times/article/2024/11/19/the-pelicot-rape-trial-is-causing-introspection-and-division-among-men-honestly-we-don-t-know-where-to-stand-anymore_6733288_39.html","Trump's economic policy: How Elon Musk is trying to influence key appointments, https://www.lemonde.fr/en/international/article/2024/11/19/trump-s-economic-policy-how-elon-musk-is-trying-to-influence-key-appointments_6733272_4.html","Kremlin accuses Biden of 'fueling the fire' in Ukraine ahead of Trump's return to the White House, https://www.lemonde.fr/en/international/article/2024/11/18/kremlin-accuses-biden-of-fueling-the-fire-in-ukraine-ahead-of-trump-s-return-to-the-white-house_6733259_4.html"
https://www.bbc.com,2024-11-19 05:38:05.903164,"Russia vows 'tangible' response if US missiles used against its territory, https://www.bbc.com/news/articles/crr91nn9n79o","Almost 100 Gaza food aid lorries violently looted, UN agency says, https://www.bbc.com/news/articles/c5ypjd7gepmo","Top Hong Kong pro-democracy leaders sentenced to jail, https://www.bbc.com/news/articles/cx2l4eynl4zo"
https://www.aljazeera.com,2024-11-19 05:38:04.993131,"Israel, Hezbollah trade fire as Netanyahu downplays ceasefire deal, https://www.aljazeera.com/news/liveblog/2024/11/19/live-israel-hezbollah-trade-fire-as-netanyahu-downplays-ceasefire-talks","Hong Kong jails all 45 pro-democracy activists in largest security case, https://www.aljazeera.com/news/2024/11/19/hong-kong-jails-all-45-pro-democracy-activists-in-largest-security-case","Trump taps Fox Business host Sean Duffy for transportation secretary, https://www.aljazeera.com/economy/2024/11/19/trump-taps-ex-lawmaker-and-fox-business-host-for-transportation-secretary"
https://www.economist.com,2024-11-18 05:39:13.762434,"How to make Elon Musk’s budget-slashing dreams come true, https://www.economist.com/finance-and-economics/2024/11/17/how-to-make-elon-musks-budget-slashing-dreams-come-true","The Telegram: The terrifying perils of appeasing a warlike Russia, https://www.economist.com/international/2024/11/16/the-terrifying-perils-of-appeasing-a-warlike-russia","Brazil courts China as its Musk feud erupts again, https://www.economist.com/the-americas/2024/11/17/brazil-courts-china-as-its-musk-feud-erupts-again"
https://www.lemonde.fr/en/,2024-11-18 05:39:12.779146,"Lula's thwarted ambitions to place Brazil at the center of the world, https://www.lemonde.fr/en/international/article/2024/11/18/lula-s-thwarted-ambitions-to-place-brazil-at-the-center-of-the-world_6733149_4.html","Israel army confirms strike 'eliminated' Hezbollah spokesman, while a blast in Gaza kills dozens, https://www.lemonde.fr/en/international/article/2024/11/17/israel-army-confirms-strike-eliminated-hezbollah-spokesman_6733118_4.html","Biden clears Ukraine for long-range missile strikes inside Russia, https://www.lemonde.fr/en/international/article/2024/11/17/biden-clears-ukraine-for-long-range-missile-strikes-inside-russia_6733115_4.html"
https://www.bbc.com,2024-11-18 05:39:12.128095,"How long-range missiles striking Russia could affect Ukraine war, https://www.bbc.com/news/articles/cx2nrlq1840o","'Massive' Russian attack causes Ukraine blackouts, https://www.bbc.com/news/articles/c206l3qgnx2o","Biden allows Ukraine to strike inside Russia with missiles, https://www.bbc.com/news/articles/c789x0y91vvo"
https://www.aljazeera.com,2024-11-18 05:39:11.256395,"Israeli forces kill 111 in Gaza as Pope Francis calls for genocide inquiry, https://www.aljazeera.com/news/liveblog/2024/11/18/live-israeli-attacks-kill-111-in-gaza-as-pope-calls-for-genocide-inquiry","Biden to allow Ukraine to use US weapons inside Russia: Reports, https://www.aljazeera.com/news/2024/11/17/biden-to-allow-ukraine-to-use-us-weapons-inside-russia-reports","Lebanese Australians reminded of past wars as Israel attacks Lebanon again, https://www.aljazeera.com/features/2024/11/18/lebanese-australians-reminded-of-past-wars-as-israel-attacks-lebanon-again"
https://www.economist.com,2024-11-17 05:37:57.282047,"The energy transition will be much cheaper than you think, https://www.economist.com/interactive/briefing/2024/11/14/the-energy-transition-will-be-much-cheaper-than-you-think","1843 magazine | The radioactive flood threatening Central Asia’s breadbasket, https://www.economist.com/1843/2024/11/15/the-radioactive-flood-threatening-central-asias-breadbasket","China should not wait to stimulate its economy, https://www.economist.com/leaders/2024/11/14/china-should-not-wait-to-stimulate-its-economy"
https://www.lemonde.fr/en/,2024-11-17 05:37:56.382322,"Thirty-five years after the fall of the wall, liberal Berlin has lost its luster, https://www.lemonde.fr/en/economy/article/2024/11/17/thirty-five-years-after-the-fall-of-the-wall-liberal-berlin-has-lost-its-luster_6733081_19.html","Trump chooses oil executive Chris Wright as energy secretary, https://www.lemonde.fr/en/international/article/2024/11/17/trump-chooses-oil-executive-chris-wright-as-energy-secretary_6733074_4.html","Dutch government narrowly avoids crisis after violent incidents in Amsterdam, https://www.lemonde.fr/en/international/article/2024/11/17/dutch-government-narrowly-avoids-crisis-after-violent-incidents-in-amsterdam_6733079_4.html"
https://www.bbc.com,2024-11-17 05:37:55.666800,"Zelensky says war will 'end sooner' with Trump as president, https://www.bbc.com/news/articles/c0mzgv4x901o","'Anointed by God': The Christians who see Trump as their saviour, https://www.bbc.com/news/articles/c20g1zvgj4do","Xi says he will work with Trump in last meeting with Biden, https://www.bbc.com/news/articles/cx2l4dn802lo"
https://www.aljazeera.com,2024-11-17 05:37:54.746645,"Israel bombed Lebanon 145 times in one day; Over a dozen killed in Gaza, https://www.aljazeera.com/news/liveblog/2024/11/17/live-israeli-attacks-on-gaza-lebanon-target-shelters-rescue-workers","At APEC 2024, Chinese leader Xi tells Biden he’s ‘ready to work’ with Trump, https://www.aljazeera.com/news/2024/11/17/at-apec-2024-chinese-leader-xi-tells-biden-hes-ready-to-work-with-trump","Yasser and Fathi Arafat remembered, 20 years after their deaths, https://www.aljazeera.com/features/2024/11/17/yasser-and-fathi-arafat-remembered-20-years-after-their-deaths"
https://www.economist.com,2024-11-16 05:37:40.504909,"What’s about to hit the world economy?, https://www.economist.com/leaders/2024/11/14/whats-about-to-hit-the-world-economy","What would it cost to kill coal?, https://www.economist.com/interactive/the-economist-explains/2024/11/15/what-would-it-cost-to-kill-coal","The demographic detail of Donald Trump’s victory, https://www.economist.com/united-states/2024/11/14/back-to-the-1850s"
https://www.lemonde.fr/en/,2024-11-16 05:37:39.590182,"The 'visceral' anguish of France's Lebanese community, https://www.lemonde.fr/en/middle-east-crisis/article/2024/11/16/the-visceral-anguish-of-france-s-lebanese-community_6733031_368.html","Zelensky says Ukraine war will end 'sooner' with Trump in office, https://www.lemonde.fr/en/international/article/2024/11/16/zelensky-says-ukraine-war-will-end-sooner-with-trump-in-office_6733021_4.html","How America's tech right came to power, https://www.lemonde.fr/en/international/article/2024/11/15/how-america-s-tech-right-came-to-power_6732989_4.html"
https://www.bbc.com,2024-11-16 05:37:38.872518,"Paul easily beats Tyson on points in drab heavyweight contest, https://www.bbc.com/sport/boxing/live/c15gw8vv9dgt","Meteor lights up night sky over parts of US and Canada, https://www.bbc.com/news/videos/c1dpk11q5lqo","United by loyalty, Trump's new team members have competing agendas, https://www.bbc.com/news/articles/cvg5nzr2p8eo"
https://www.aljazeera.com,2024-11-16 05:37:38.053921,"WHO chief denounces Israel’s killing of 12 paramedics in Lebanon air strike, https://www.aljazeera.com/news/liveblog/2024/11/16/live-who-chief-slams-israels-killing-of-12-paramedics-in-lebanon-strike","‘Need a change’: Sri Lanka’s leftist win sparks hopes, bridges old divides, https://www.aljazeera.com/news/2024/11/16/need-a-change-sri-lankas-leftist-win-sparks-hopes-bridges-old-divides","House Speaker Johnson resists calls to make Matt Gaetz ethics report public, https://www.aljazeera.com/news/2024/11/16/house-speaker-johnson-resists-calls-to-make-matt-gaetz-ethics-report-public"
https://www.economist.com,2024-11-15 05:38:05.773471,"What Trump’s picks suggest about how his presidency will go, https://www.economist.com/united-states/2024/11/13/what-trumps-picks-suggest-about-how-his-presidency-will-go","How to pay for the poor world to go green, https://www.economist.com/finance-and-economics/2024/11/14/how-to-pay-for-the-poor-world-to-go-green","The sun begins to set on Olaf Scholz’s chancellorship, https://www.economist.com/europe/2024/11/14/the-sun-begins-to-set-on-olaf-scholzs-chancellorship"
