org,scraped_at,headline_1,headline_2,headline_3
https://www.bbc.com,2024-07-05 05:33:04.082404,"UK general election: Live results, https://www.bbc.com/news/articles/c4ngxeyxd9go","Mordaunt and Rees-Mogg among big-name Tory losses, https://www.bbc.com/news/articles/cjl65p8j87ko","Sir John Curtice: The dramatic Tory decline behind Labour's landslide, https://www.bbc.com/news/articles/c4ngxeyxd9go"
https://www.aljazeera.com,2024-07-05 05:33:03.349137,"Ceasefire talks to resume as Palestinian death toll passes 38,000 in Gaza, https://www.aljazeera.com/news/liveblog/2024/7/5/israel-war-on-gaza-live-cautious-optimism-as-ceasefire-talks-revived","Labour secures landslide victory in UK election; Starmer to be PM, https://www.aljazeera.com/news/liveblog/2024/7/4/uk-general-election-2024-results-live-coverage","Pezeshkian or Jalili? Iranians head to polls to elect next president, https://www.aljazeera.com/news/liveblog/2024/7/5/iran-presidential-election-2024-live-coverage-pezeshkian-jalili-run-off"
https://www.economist.com,2024-06-27 05:36:21.501766,"The rise of the truly cruel summer, https://www.economist.com/international/2024/06/26/the-rise-of-the-truly-cruel-summer","An apparent coup in Bolivia founders, but the country remains in trouble, https://www.economist.com/the-americas/2024/06/27/an-apparent-coup-in-bolivia-founders-but-the-country-remains-in-trouble","The world’s most liveable cities in 2024, https://www.economist.com/graphic-detail/2024/06/26/the-worlds-most-liveable-cities-in-2024"
https://www.lemonde.fr/en/,2024-06-27 05:36:20.310324,"The death of Nahel Merzouk: A reconstruction, https://www.lemonde.fr/en/france/article/2024/06/27/the-death-of-nahel-merzouk-a-reconstruction_6675901_7.html","French elections: Scattered conservative voters are increasingly tempted by the far right, https://www.lemonde.fr/en/politics/article/2024/06/27/french-elections-scattered-conservative-voters-are-increasingly-tempted-by-the-far-right_6675902_5.html","NBA Draft: French players Risacher, Sarr and Salaün make history in New York, https://www.lemonde.fr/en/sports/article/2024/06/27/france-s-risacher-chosen-by-hawks-with-top-pick-in-nba-draft_6675885_9.html"
https://www.bbc.com,2024-06-27 05:36:19.550289,"BBC tracks down smuggler behind Channel crossing which killed Sara, 7, https://www.bbc.com/news/articles/cx77l5ej2yyo","Artwork now most valuable Harry Potter item ever sold, https://www.bbc.com/news/articles/c728l50j700o","Bolivian police arrest leader of coup attempt, https://www.bbc.com/news/articles/c288eewr1wko"
https://www.aljazeera.com,2024-06-27 05:36:18.739592,"Israel strikes civilian areas in 24 hours of ‘brutal’ attacks on Gaza, https://www.aljazeera.com/news/liveblog/2024/6/27/israel-war-on-gaza-live-children-buried-as-us-to-support-israel-build-up","Protesters in Kenya ready for new march despite President Ruto U-turn, https://www.aljazeera.com/news/liveblog/2024/6/27/kenya-finance-bill-protests-live-protesters-ready-for-new-demonstrations","Bolivian president thanks people after facing down failed coup attempt, https://www.aljazeera.com/news/2024/6/26/fears-of-coup-attempt-in-bolivia-as-soldiers-storm-presidential-palace"
https://www.economist.com,2024-06-26 05:33:23.533373,"What the remaking of Labour reveals about Sir Keir Starmer, https://www.economist.com/britain/2024/06/25/what-the-remaking-of-labour-reveals-about-sir-keir-starmer","Death and destruction in a Russian city, https://www.economist.com/europe/2024/06/24/death-and-destruction-in-a-russian-city","Julian Assange’s plea deal: a suitable end to a grubby saga, https://www.economist.com/britain/2024/06/25/julian-assanges-plea-deal-a-suitable-end-to-a-grubby-saga"
https://www.lemonde.fr/en/,2024-06-26 05:33:22.470879,"'People hate you': The French are increasingly rejecting Macron, https://www.lemonde.fr/en/politics/article/2024/06/26/people-hate-you-the-french-are-increasingly-rejecting-macron_6675755_5.html","WikiLeaks founder Julian Assange freed in US plea deal, https://www.lemonde.fr/en/international/article/2024/06/26/wikileaks-assange-pleads-guilty-in-deal-with-us-that-secures-his-freedom_6675743_4.html","Euro 2024: France fail to overcome Poland in their final group match, https://www.lemonde.fr/en/sports/article/2024/06/25/euro-2024-france-fail-to-overcome-poland-in-their-final-group-match_6675711_9.html"
https://www.bbc.com,2024-06-26 05:33:21.318619,"How the deal to free Julian Assange was agreed, https://www.bbc.com/news/articles/c511y42z1p7o","US journalist's spy trial due to start in Russia, https://www.bbc.com/news/articles/cd116x340eno","Julian Assange walks free after reaching plea deal in US court over leaking military secrets, https://www.bbc.com/news/live/world-69145409"
https://www.aljazeera.com,2024-06-26 05:33:20.392300,"‘Subhuman’ conditions in Gaza as Israeli strikes on civilians continue, https://www.aljazeera.com/news/liveblog/2024/6/26/israel-war-on-gaza-live-subhuman-conditions-in-camps-attacked-by-israel","India exports rockets, explosives to Israel amid Gaza war, documents reveal, https://www.aljazeera.com/features/2024/6/26/india-exports-rockets-explosives-to-israel-amid-gaza-war-documents-reveal","Julian Assange flies to Australia after US judge frees him in plea deal, https://www.aljazeera.com/news/2024/6/25/wikileaks-julian-assange-lands-in-saipan-for-us-plea-deal-court-hearing"
https://www.economist.com,2024-06-25 05:33:14.195707,"Will services make the world rich?, https://www.economist.com/finance-and-economics/2024/06/24/will-services-make-the-world-rich","The alarming foreign policies of France’s hard right and hard left, https://www.economist.com/europe/2024/06/24/the-alarming-foreign-policies-of-frances-hard-right-and-hard-left","The “Venice of Africa” is sinking into the sea, https://www.economist.com/middle-east-and-africa/2024/06/24/the-venice-of-africa-is-sinking-into-the-sea"
https://www.lemonde.fr/en/,2024-06-25 05:33:13.166748,"How Israel targets journalists in Gaza: 'The press vest now puts us in danger', https://www.lemonde.fr/en/international/article/2024/06/25/how-israel-targets-journalists-in-gaza-the-press-vest-now-puts-us-in-danger_6675653_4.html"," France could become ungovernable in the aftermath of the parliamentary elections, https://www.lemonde.fr/en/politics/article/2024/06/24/snap-elections-france-could-become-ungovernable_6675623_5.html","Julian Assange released from prison after US plea deal, https://www.lemonde.fr/en/international/article/2024/06/25/julian-assange-is-free-and-has-left-britain_6675637_4.html"
https://www.bbc.com,2024-06-25 05:33:12.387914,"Wikileaks: Julian Assange freed in US plea deal, https://www.bbc.com/news/articles/crgggyvp0j9o","Age anxiety hangs over first Biden-Trump debate, https://www.bbc.com/news/articles/cn00e8dzq46o","Julian Assange leaves UK after being freed in US plea deal, https://www.bbc.com/news/live/world-69145409"
https://www.aljazeera.com,2024-06-25 05:33:11.625506,"Israeli attack kills aid seekers as 495,000 people in Gaza face starvation, https://www.aljazeera.com/news/liveblog/2024/6/25/israel-war-on-gaza-live-leaked-un-report-warns-high-famine-risk-remains","‘Julian Assange is free’: Wikileaks founder to be freed in deal with US, https://www.aljazeera.com/news/2024/6/25/julian-assange-is-free-wikileaks-founder-freed-in-deal-with-us","Five killed, dozens injured in Russian missile attack on Ukraine’s Pokrovsk, https://www.aljazeera.com/news/2024/6/25/five-killed-dozens-injured-in-russian-missile-attack-on-ukraines-pokrovsk"
https://www.economist.com,2024-06-24 05:33:22.277602,"The economic recklessness of both France’s hard left and hard right, https://www.economist.com/europe/2024/06/23/the-economic-recklessness-of-both-frances-hard-left-and-hard-right","Is artificial intelligence making big tech too big?, https://www.economist.com/business/2024/06/23/is-artificial-intelligence-making-big-tech-too-big","Javier Milei has turned Argentina into a libertarian laboratory, https://www.economist.com/the-americas/2024/06/20/javier-milei-has-turned-argentina-into-a-libertarian-laboratory"
https://www.lemonde.fr/en/,2024-06-24 05:33:21.214233,"French elections: What are the three blocs' positions on immigration?, https://www.lemonde.fr/en/politics/article/2024/06/24/french-elections-what-are-the-three-blocs-positions-on-immigration_6675574_5.html","Why Serge Klarsfeld, the renowned Nazi hunter, says he's ready to vote RN, https://www.lemonde.fr/en/politics/article/2024/06/23/why-serge-klarsfeld-the-renowned-nazi-hunter-says-he-s-ready-to-vote-rn_6675540_5.html","Macron pledges 'change' and to 'act until 2027' in open letter, https://www.lemonde.fr/en/politics/article/2024/06/23/french-elections-macron-pledges-change-and-to-act-until-2027-in-open-letter_6675543_5.html"
https://www.bbc.com,2024-06-24 05:33:20.402468,"Intense fighting in Rafah near end, says Netanyahu, https://www.bbc.com/news/articles/cpvvvkxpxwno","World first epilepsy device fitted in UK boy's skull, https://www.bbc.com/news/articles/cg33kgd81mvo","Deadly attacks on Dagestan synagogues and churches , https://www.bbc.com/news/articles/crgggwg158do"
https://www.aljazeera.com,2024-06-24 05:33:19.589898,"Israeli tanks at edge of Gaza safe zone as more babies die of malnutrition, https://www.aljazeera.com/news/liveblog/2024/6/24/israel-war-on-gaza-live-israeli-tanks-surround-al-mawasi-safe-zone","More than a dozen killed in synagogue, church attacks in Russia’s Dagestan, https://www.aljazeera.com/news/2024/6/23/synagogue-church-attacks-in-russias-dagestan-kill-police-report","Xi eyes military supremacy as he reorganises China’s armed forces, https://www.aljazeera.com/news/2024/6/24/xi-eyes-military-supremacy-as-he-reorganises-chinas-armed-forces"
https://www.economist.com,2024-06-09 05:32:29.719888,"The war for AI talent is heating up, https://www.economist.com/business/2024/06/08/the-war-for-ai-talent-is-heating-up","How to hire a spy, https://www.economist.com/culture/2024/06/06/how-to-hire-a-spy","Watch out Beijing, China’s second-tier cities are on the up, https://www.economist.com/china/2024/06/06/watch-out-beijing-chinas-second-tier-cities-are-on-the-up"
https://www.lemonde.fr/en/,2024-06-09 05:32:28.628745,"Why is Jordan Bardella so popular among young French voters?, https://www.lemonde.fr/en/campus/article/2024/06/09/why-is-jordan-bardella-so-popular-among-young-french-voters_6674276_11.html","Protectionist escalation: 'Europe could be engulfed in the economic rivalry between China and the US', https://www.lemonde.fr/en/economy/article/2024/06/09/protectionist-escalation-europe-could-be-engulfed-in-the-economic-rivalry-between-china-and-the-us_6674275_19.html","EU elections: A look back at a French campaign dominated by domestic issues, https://www.lemonde.fr/en/politics/article/2024/06/08/european-elections-a-look-back-at-a-french-campaign-dominated-by-domestic-issues_6674252_5.html"
https://www.bbc.com,2024-06-09 05:32:27.870604,"How Israel's hostage rescue in Gaza unfolded, https://www.bbc.com/news/articles/cp334z7rxxmo","Millions voting on final day of EU elections as right seeks surge, https://www.bbc.com/news/articles/cd114d035j3o","Four hostages rescued in Gaza as hospitals say scores killed in Israeli strikes , https://www.bbc.com/news/articles/cd11z2j34k4o"
https://www.aljazeera.com,2024-06-09 05:32:27.211419,"‘It’s a nightmare’: Dead, wounded from Nuseirat attack overwhelm hospitals, https://www.aljazeera.com/news/liveblog/2024/6/9/israels-war-on-gaza-live-nightmare-as-hospital-copes-with-nuseirat-dead","Israel kills more than 200 in attack on central Gaza: Gov’t Media Office, https://www.aljazeera.com/news/2024/6/8/many-casualties-as-israel-escalates-attacks-across-gaza","Israeli army says four captives rescued amid heavy strikes on Gaza, https://www.aljazeera.com/news/2024/6/8/israeli-army-says-it-rescued-four-captives-held-in-gaza"
https://www.economist.com,2024-06-08 05:32:41.320834,"America’s billionaires should resist the urge to support Donald Trump, https://www.economist.com/leaders/2024/06/06/americas-billionaires-should-resist-the-urge-to-support-donald-trump","Should the world fear China’s chipmaking binge?, https://www.economist.com/business/2024/06/06/should-the-world-fear-chinas-chipmaking-binge","1843 magazine | Can fasting help you live to 100?, https://www.economist.com/1843/2024/06/07/can-fasting-help-you-live-to-100"
https://www.lemonde.fr/en/,2024-06-08 05:32:40.382656,"How the far right envisions Europe, https://www.lemonde.fr/en/opinion/article/2024/06/08/how-the-far-right-envisions-europe_6674195_23.html","EU elections: Final poll shows race still uncertain in France, https://www.lemonde.fr/en/politics/article/2024/06/07/eu-elections-final-poll-shows-race-still-uncertain-in-france_6674167_5.html","Danish PM Mette Frederiksen assaulted on a Copenhagen square, https://www.lemonde.fr/en/international/article/2024/06/07/danish-pm-mette-frederiksen-assaulted-on-a-copenhagen-square_6674171_4.html"
https://www.bbc.com,2024-06-08 05:32:39.628899,"Danish PM attacked by man in Copenhagen, https://www.bbc.com/news/articles/cv22k0rkl99o","I married the love of my life in a Ukrainian bunker. Two days later he was killed, https://www.bbc.com/news/articles/cv220gq7p31o","Nasa 'Earthrise' astronaut dies at 90 in plane crash, https://www.bbc.com/news/articles/cw99wj5e5q8o"
https://www.aljazeera.com,2024-06-08 05:32:38.900839,"‘List of shame’: UN hailed as Israeli army added to child harm ‘blacklist’, https://www.aljazeera.com/news/liveblog/2024/6/8/israels-war-on-gaza-live-israeli-army-to-be-added-to-un-child-harm-list","Dozens killed near Sudan’s capital as UN warns of soaring displacement, https://www.aljazeera.com/news/2024/6/7/dozens-killed-near-sudans-capital-as-un-warns-of-soaring-displacement","Ukraine begins strikes on Russian soil using US weapons, https://www.aljazeera.com/news/2024/6/7/ukraine-begins-strikes-on-russian-soil-using-us-weapons"
https://www.economist.com,2024-06-07 05:34:08.598009,"Britain’s Labour Party must be bolder about growth, https://www.economist.com/leaders/2024/06/06/britains-labour-party-must-be-bolder-about-growth","Three reasons why it’s good news that robots are getting smarter, https://www.economist.com/leaders/2024/06/06/three-reasons-why-its-good-news-that-robots-are-getting-smarter","Chinese fast-food insurgents are beating McDonald’s and KFC, https://www.economist.com/business/2024/06/06/chinese-fast-food-insurgents-are-beating-mcdonalds-and-kfc"
https://www.lemonde.fr/en/,2024-06-07 05:34:07.547523,"Israeli universities brace for growing threat of boycotts, https://www.lemonde.fr/en/international/article/2024/06/07/israeli-universities-brace-for-growing-threat-of-boycotts_6674077_4.html","French President Macron promises Ukraine Mirage aircraft to fend off Russian attacks, https://www.lemonde.fr/en/politics/article/2024/06/06/french-president-macron-promises-ukraine-mirage-aircraft-to-fend-off-russian-attacks_6674049_5.html","EU elections: Irish & Czechs to vote after Dutch far right gains, https://www.lemonde.fr/en/international/article/2024/06/07/eu-elections-irish-czechs-to-vote-after-dutch-far-right-gains_6674081_4.html"
https://www.bbc.com,2024-06-07 05:34:05.928128,"Sunak and Starmer resume campaigns after D-Day commemorations, https://www.bbc.com/news/live/uk-politics-69098963","The devastating cost of fighting Myanmar's military dictatorship, https://www.bbc.com/news/articles/cydd87gen62o","Refugees sent to Rwanda from remote UK island speak to BBC, https://www.bbc.com/news/articles/c511kkwej7jo"
https://www.aljazeera.com,2024-06-07 05:34:05.195784,"‘Scene of devastation’: Gaza hospital inundated after deadly Israeli attack, https://www.aljazeera.com/news/liveblog/2024/6/7/israels-war-on-gaza-live-hospital-barely-coping-with-dead-and-wounded","Did India’s farmers ditch Modi’s BJP in the 2024 election?, https://www.aljazeera.com/news/2024/6/7/did-indias-farmers-ditch-modis-bjp-in-the-2024-election","South Africa’s ANC will seek national unity government, Ramaphosa says, https://www.aljazeera.com/news/2024/6/6/989"
https://www.economist.com,2024-06-06 05:33:55.214860,"A triumph for Indian democracy, https://www.economist.com/leaders/2024/06/05/a-triumph-for-indian-democracy","Russia’s explosion of a huge Ukrainian dam had surprising effects, https://www.economist.com/interactive/europe/2024/06/05/russias-explosion-of-a-huge-ukrainian-dam-had-surprising-effects","Buttonwood: Should you buy pricey stocks like Nvidia?, https://www.economist.com/finance-and-economics/2024/06/05/should-you-buy-pricey-stocks-like-nvidia"
https://www.lemonde.fr/en/,2024-06-06 05:33:53.655735,"D-Day as told by its last French survivor, Léon Gautier, https://www.lemonde.fr/en/videos/video/2024/06/06/d-day-as-told-by-its-last-french-survivor-leon-gautier_6673952_108.html","'Climate chaos': Planet breaks temperature records for twelfth month in a row, https://www.lemonde.fr/en/environment/article/2024/06/06/climate-chaos-planet-breaks-temperature-records-for-twelfth-month-in-a-row_6673940_114.html","Putin threatens to arm countries that could hit Western targets, https://www.lemonde.fr/en/international/article/2024/06/05/putin-threatens-to-arm-countries-that-could-hit-western-targets_6673893_4.html"
https://www.bbc.com,2024-06-06 05:33:52.870584,"World leaders to mark 80 years since D-Day, https://www.bbc.com/news/live/world-69089969","Nvidia value surges past $3tn and overtakes Apple, https://www.bbc.com/news/articles/c6ppqd3j621o","Israeli strike on UN school in Gaza kills at least 20, locals say, https://www.bbc.com/news/articles/crggq0jygq6o"
https://www.aljazeera.com,2024-06-06 05:33:52.134156,"Many children among dead as Israeli strike on school shelter kills ‘dozens’, https://www.aljazeera.com/news/liveblog/2024/6/6/israels-war-on-gaza-live-relentless-israeli-strikes-kill-102-palestinians","Israel bombs UNRWA school in Gaza, kills 32 displaced Palestinians, https://www.aljazeera.com/news/2024/6/6/israel-bombs-unrwa-school-in-gaza-kills-32-displaced-palestinians","Putin warns West over Ukraine armaments, nuclear arsenal in news conference, https://www.aljazeera.com/news/2024/6/5/putin-warns-west-over-ukraine-armaments-nuclear-arsenal-in-news-conference"
https://www.economist.com,2024-06-05 05:34:15.550359,"A shock election result in India humbles Narendra Modi, https://www.economist.com/asia/2024/06/04/a-shock-election-result-in-india-humbles-narendra-modi","The rise of the hard right threatens Europe’s political stability, https://www.economist.com/europe/2024/05/30/the-rise-of-the-hard-right-threatens-europes-political-stability","Is America’s economy heading for a consumer crunch?, https://www.economist.com/finance-and-economics/2024/06/04/is-americas-economy-heading-for-a-consumer-crunch"
https://www.lemonde.fr/en/,2024-06-05 05:34:14.538990,"The European Union's diplomatic failure in Gaza, https://www.lemonde.fr/en/international/article/2024/06/05/war-in-gaza-the-eu-s-diplomatic-failure_6673792_4.html","Biden orders temporary Mexico border closure for asylum seekers, https://www.lemonde.fr/en/united-states/article/2024/06/04/biden-orders-temporary-mexico-border-closure-for-asylum-seekers_6673770_133.html","Modi claims victory in India, opposition says voters 'punished' PM's party, https://www.lemonde.fr/en/international/article/2024/06/04/modi-claims-victory-in-india-opposition-says-voters-punished-pm-s-party_6673753_4.html"
https://www.bbc.com,2024-06-05 05:34:13.814055,"Modi claims Indian election win but opposition yet to concede, https://www.bbc.com/news/live/world-asia-india-69072275","Why India's Modi failed to win outright majority, https://www.bbc.com/news/articles/c977g8gl5q2o","Biden announces asylum restrictions to ‘control border’, https://www.bbc.com/news/articles/c7227y6nqzmo"
https://www.aljazeera.com,2024-06-05 05:34:13.017381,"Israel attacks central Gaza as civilian victims flood overwhelmed hospital, https://www.aljazeera.com/news/liveblog/2024/6/5/israels-war-on-gaza-live-deadly-strikes-ground-attack-target-bureij-camp","Modi’s BJP loses majority in India election shock, needs allies for gov’t, https://www.aljazeera.com/news/2024/6/4/modis-bjp-loses-majority-in-india-election-shock-needs-allies-for","French military trainers would be ‘legitimate target’ in Ukraine: Lavrov, https://www.aljazeera.com/news/2024/6/5/french-military-in-ukraine-would-be-legitimate-target-for-russia-lavrov"
https://www.economist.com,2024-06-04 05:36:39.521664,"Can Britain’s economy grow as fast as it needs to?, https://www.economist.com/britain/2024/06/03/can-britains-economy-grow-as-fast-as-it-needs-to","China’s economic model retains a dangerous allure, https://www.economist.com/finance-and-economics/2024/06/03/chinas-economic-model-retains-a-dangerous-allure","Yuval Noah Harari on how to prevent a new age of imperialism, https://www.economist.com/by-invitation/2024/06/03/yuval-noah-harari-on-how-to-prevent-a-new-age-of-imperialism"
https://www.lemonde.fr/en/,2024-06-04 05:36:38.468259,"Jordan Bardella's family history of migration, https://www.lemonde.fr/en/politics/article/2024/06/04/french-far-right-candidate-bardella-s-family-history-of-migration_6673696_5.html","The Modi decade: Economic boom and democratic decline, https://www.lemonde.fr/en/international/article/2024/06/03/the-modi-decade-economic-boom-and-democratic-decline_6673667_4.html","'While the world's media hailed Trump's conviction, money flew to the Republican candidate's rescue', https://www.lemonde.fr/en/opinion/article/2024/06/04/while-press-around-the-world-hailed-donald-trump-s-conviction-money-flew-to-the-republican-candidate-s-rescue_6673688_23.html"
https://www.bbc.com,2024-06-04 05:36:37.081374,"Find latest India election results here, https://www.bbc.com/news/resources/idt-0385e7a0-3feb-4ab7-ab78-d80ad189e347","Arrests, accusations and AI: India’s election unpacked, https://www.bbc.com/news/articles/cqqq2g653gro","Counting begins after India's mammoth election, https://www.bbc.com/news/live/world-asia-india-69072275"
https://www.aljazeera.com,2024-06-04 05:36:36.297275,"US piles pressure on Israel, Hamas over ceasefire deal, urges UN support, https://www.aljazeera.com/gallery/liveblog/2024/6/4/israels-war-on-gaza-live-pressure-mounts-on-israel-hamas-to-cease-fire","India election results: Modi’s BJP alliance ahead but opposition fights on, https://www.aljazeera.com/news/liveblog/2024/6/4/india-election-results-live-news-modi-eyes-historic-third-term-as-pm","Epoch Times executive arrested over alleged $67m money laundering scheme, https://www.aljazeera.com/economy/2024/6/4/epoch-times-executive-arrested-over-alleged-67m-money-laundering-scheme"
https://www.economist.com,2024-06-03 05:34:24.958822,"In Crimea, Ukraine is beating Russia, https://www.economist.com/europe/2024/06/02/in-crimea-ukraine-is-beating-russia","How Saudi Aramco plans to win the oil endgame, https://www.economist.com/business/2024/06/02/how-saudi-aramco-plans-to-win-the-oil-endgame","Xi Jinping’s surprising new source of economic advice, https://www.economist.com/finance-and-economics/2024/05/30/xi-jinpings-surprising-new-source-of-economic-advice"
https://www.lemonde.fr/en/,2024-06-03 05:34:23.951229,"France mulls recognition of Palestinian state, waiting for 'useful time', https://www.lemonde.fr/en/international/article/2024/06/03/france-mulls-recognition-of-palestinian-state-waiting-for-useful-time_6673550_4.html","South Africa: The ANC's historically low score signals the end of its political dominance, https://www.lemonde.fr/en/le-monde-africa/article/2024/06/03/south-africa-the-anc-s-historically-low-score-signals-the-end-of-its-political-dominance_6673539_124.html","Benghazi, Libya's new hub for illegal immigration to the US, https://www.lemonde.fr/en/le-monde-africa/article/2024/06/03/benghazi-libya-s-new-hub-for-illegal-immigration-to-the-us_6673549_124.html"
https://www.bbc.com,2024-06-03 05:34:23.176099,"US expects Israel will accept Gaza ceasefire plan if Hamas does , https://www.bbc.com/news/articles/cd11l590qqwo","China accuses MI6 of recruiting Chinese state workers, https://www.bbc.com/news/articles/cd11364g90mo","Sheinbaum to be Mexico's first woman president - exit poll , https://www.bbc.com/news/articles/cp4475gwny1o"
https://www.aljazeera.com,2024-06-03 05:34:22.466369,"Israeli strikes on Gaza refugee camps, residential homes kill at least 22, https://www.aljazeera.com/news/liveblog/2024/6/3/israels-war-on-gaza-live-israeli-strike-on-gaza-refugee-camp-kills-four","Sheinbaum takes early lead in race to be Mexico’s first female president, https://www.aljazeera.com/news/liveblog/2024/6/3/mexico-election-2024-results-live-will-sheinbaum-win-the-presidency","South Africa’s Ramaphosa calls for unity after his ANC loses majority, https://www.aljazeera.com/news/2024/6/2/south-africas-ramaphosa-calls-for-unity-after-anc-loses-majority"
https://www.economist.com,2024-06-02 05:32:35.250562,"South Africa stands on the brink of salvation—or catastrophe, https://www.economist.com/leaders/2024/06/01/south-africa-stands-on-the-brink-of-salvation-or-catastrophe","The three women who will shape Europe, https://www.economist.com/leaders/2024/05/30/the-three-women-who-will-shape-europe","Exit polls point to a crushing victory for Narendra Modi, https://www.economist.com/asia/2024/06/01/exit-polls-point-to-a-crushing-victory-for-narendra-modi"
